"","date&time","person","social_media","socialising","avoid_people","avoid_activities","procrastinating","positive","negative","submit"
"1","2021-11-17 05:18:01","2","20","0","3","3","1","7","2","1"
"2","2021-11-17 08:04:33","2","20","0","1","1","1","7","3","1"
"3","2021-11-17 12:00:00","2","12","10","3","2","1","8","1","1"
"4","2021-11-17 14:01:58","2","34","0","1","2","2","7","2","1"
"5","2021-11-18 05:01:18","2","57","125","2","2","1","8","3","1"
"6","2021-11-18 08:55:32","2","5","15","1","1","1","7","1","1"
"7","2021-11-18 11:04:23","2","53","0","1","3","1","8","3","1"
"8","2021-11-18 14:09:22","2","70","5","4","2","2","7","2","1"
"9","2021-11-19 05:04:16","2","10","25","3","4","1","8","2","1"
"10","2021-11-19 08:12:22","2","22","20","1","2","3","8","3","1"
"11","2021-11-19 11:05:49","2","60","0","3","4","3","8","2","1"
"12","2021-11-19 14:05:09","2","15","120","1","1","1","9","2","1"
"13","2021-11-20 05:05:14","2","93","2","3","6","7","5","5","1"
"14","2021-11-20 08:01:45","2","60","0","4","8","8","5","6","1"
"15","2021-11-20 11:06:55","2","30","2","6","3","6","5","5","1"
"16","2021-11-20 14:14:07","2","30","120","1","2","2","9","1","1"
"17","2021-11-21 05:10:42","2","86","70","2","5","3","7","2","1"
"18","2021-11-21 08:03:55","2","20","20","2","1","1","7","2","1"
"19","2021-11-21 11:02:04","2","30","45","1","1","2","8","2","1"
"20","2021-11-21 14:18:51","2","10","200","1","1","1","7","2","1"
"21","2021-11-22 05:18:56","2","60","20","2","3","1","7","2","1"
"22","2021-11-22 08:02:04","2","43","10","3","2","4","7","2","1"
"23","2021-11-22 11:01:32","2","30","15","2","2","3","7","1","1"
"24","2021-11-22 14:01:09","2","30","200","1","2","1","8","1","1"
"25","2021-11-23 05:02:16","2","54","8","2","4","7","5","3","1"
"26","2021-11-23 08:02:03","2","15","5","1","2","3","6","2","1"
"27","2021-11-23 11:51:50","2","15","40","1","3","2","8","2","1"
"28","2021-11-23 14:02:00","2","100","300","1","1","1","8","2","1"
"29","2021-11-24 05:01:12","2","44","40","1","3","2","7","2","1"
"30","2021-11-24 08:14:47","2","5","30","1","2","1","7","2","1"
"31","2021-11-24 11:01:45","2","20","20","3","2","1","7","3","1"
"32","2021-11-24 14:34:20","2","7","120","1","2","1","8","1","1"
"33","2021-11-25 05:03:33","2","28","15","2","4","1","7","3","1"
"34","2021-11-25 08:21:15","2","40","30","2","4","3","7","2","1"
"35","2021-11-25 11:08:15","2","15","45","1","3","1","8","2","1"
"36","2021-11-25 14:02:21","2","5","90","1","1","1","9","3","1"
"37","2021-11-26 05:16:57","2","62","15","2","4","2","7","2","1"
"38","2021-11-26 08:19:02","2","10","60","1","2","1","7","2","1"
"39","2021-11-26 11:18:51","2","5","120","2","1","1","9","1","1"
"40","2021-11-26 14:16:00","2","2","180","1","1","1","8","1","1"
"41","2021-11-27 05:05:38","2","60","120","4","5","5","7","2","1"
"42","2021-11-27 08:18:29","2","120","6","3","7","8","6","4","1"
"43","2021-11-27 11:07:05","2","100","0","3","2","4","8","2","1"
"44","2021-11-27 14:08:17","2","200","0","9","8","8","6","4","1"
"45","2021-11-28 05:07:43","2","110","90","4","5","4","7","3","1"
"46","2021-11-28 08:12:19","2","20","30","2","2","3","8","3","1"
"47","2021-11-28 11:43:21","2","70","7","3","5","7","7","2","1"
"48","2021-11-28 14:03:44","2","10","60","2","2","1","8","2","1"
"49","2021-11-29 05:26:58","2","41","6","1","2","2","8","2","1"
"50","2021-11-29 08:00:59","2","26","0","1","1","3","7","1","1"
"51","2021-11-29 11:05:06","2","15","60","1","2","1","8","2","1"
"52","2021-11-29 14:14:31","2","30","70","1","3","3","8","2","1"
"53","2021-11-30 05:01:09","2","19","120","1","2","2","8","2","1"
"54","2021-11-30 08:40:29","2","5","80","1","1","2","7","2","1"
"55","2021-11-30 11:05:48","2","20","10","1","3","3","7","1","1"
"56","2021-11-30 14:14:41","2","3","200","1","1","1","8","2","1"
"57","2021-12-01 05:08:24","2","33","20","1","2","2","7","1","1"
"58","2021-12-01 08:08:35","2","18","10","1","4","4","7","1","1"
"59","2021-12-01 11:01:42","2","50","4","2","3","3","7","2","1"
"60","2021-12-01 14:07:56","2","80","20","5","3","4","8","2","1"
"61","2021-12-02 05:01:27","2","40","20","3","4","6","8","2","1"
"62","2021-12-02 08:04:01","2","30","10","2","4","6","7","1","1"
"63","2021-12-02 11:19:57","2","30","20","1","3","3","8","1","1"
"64","2021-12-02 14:01:06","2","30","50","1","3","4","8","2","1"
"65","2021-12-03 05:14:42","2","27","60","1","2","2","8","2","1"
"66","2021-12-03 08:11:16","2","10","20","2","2","1","7","2","1"
"67","2021-12-03 11:03:20","2","6","0","1","3","2","8","1","1"
"68","2021-12-03 14:22:19","2","30","60","1","1","1","8","1","1"
"69","2021-12-04 05:01:23","2","11","3","1","4","2","8","3","1"
"70","2021-12-04 08:03:56","2","75","15","1","3","1","8","2","1"
"71","2021-12-04 11:31:42","2","50","80","1","2","1","8","2","1"
"72","2021-12-04 14:18:08","2","5","200","1","1","1","7","1","1"
"73","2021-12-05 05:01:00","2","40","5","1","2","2","8","1","1"
"74","2021-12-05 08:39:09","2","10","120","1","1","1","8","1","1"
"75","2021-12-05 13:49:37","2","0","200","1","1","1","8","1","1"
"76","2021-12-05 15:13:04","2","0","70","1","1","1","8","1","1"
"77","2021-12-06 05:22:22","2","16","90","1","1","2","9","1","1"
"78","2021-12-06 08:03:42","2","2","40","1","3","2","8","1","1"
"79","2021-12-06 11:24:53","2","5","200","1","1","1","9","1","1"
"80","2021-12-06 14:22:49","2","0","200","1","1","1","8","1","1"
"81","2021-12-07 05:51:42","2","10","80","1","2","1","9","1","1"
"82","2021-12-07 08:08:21","2","1","130","1","1","1","8","3","1"
"83","2021-12-07 11:01:21","2","15","150","1","3","1","8","3","1"
"84","2021-12-07 14:01:45","2","0","180","2","1","1","8","1","1"
"85","2021-12-08 05:01:38","2","4","70","1","3","1","8","1","1"
"86","2021-12-08 08:54:14","2","0","180","1","3","2","9","1","1"
"87","2021-12-08 11:14:07","2","0","180","1","1","1","8","1","1"
"88","2021-12-08 14:35:18","2","3","180","1","1","1","8","2","1"
"89","2021-12-09 05:21:38","2","80","60","1","2","3","8","2","1"
"90","2021-12-09 08:47:17","2","0","150","2","1","1","5","7","1"
"91","2021-12-09 11:01:11","2","60","4","3","1","1","3","7","1"
"92","2021-12-09 14:17:21","2","5","70","1","2","1","4","5","1"
"93","2021-12-10 05:13:38","2","21","180","1","2","1","7","2","1"
"94","2021-12-10 08:09:04","2","5","120","1","2","1","9","2","1"
"95","2021-12-10 11:05:05","2","5","180","1","1","1","8","1","1"
"96","2021-12-10 14:01:31","2","20","120","1","1","1","7","1","1"
"97","2021-12-11 05:25:22","2","52","60","1","3","2","7","1","1"
"98","2021-12-11 08:09:55","2","20","80","1","1","2","8","2","1"
"99","2021-12-11 11:01:16","2","8","90","1","1","1","7","1","1"
"100","2021-12-11 14:01:06","2","20","120","1","2","1","8","2","1"
"101","2021-12-12 05:01:03","2","17","60","1","1","1","7","3","1"
"102","2021-12-12 08:27:42","2","45","3","3","2","4","7","2","1"
"103","2021-12-12 11:13:11","2","50","5","2","3","4","7","1","1"
"104","2021-12-12 14:12:03","2","60","40","1","1","1","7","3","1"
